,SHA_storage_af,SHA_outflow_cfs,SHA_inflow_cfs,ORO_storage_af,ORO_outflow_cfs,ORO_inflow_cfs,BUL_storage_af,BUL_outflow_cfs,BUL_inflow_cfs,FOL_storage_af,FOL_outflow_cfs,FOL_inflow_cfs,MHB_inflow_cfs,PAR_storage_af,PAR_outflow_cfs,PAR_inflow_cfs,CMN_storage_af,CMN_outflow_cfs,CMN_inflow_cfs,NHG_inflow_cfs,NHG_storage_af,NHG_outflow_cfs,NML_storage_af,NML_outflow_cfs,NML_inflow_cfs,DNP_storage_af,DNP_outflow_cfs,DNP_inflow_cfs,EXC_storage_af,EXC_outflow_cfs,EXC_inflow_cfs,MIL_storage_af,MIL_outflow_cfs,MIL_inflow_cfs,HRO_pumping_cfs,TRP_pumping_cfs,delta_outflow_cfs,CX2_CX2_km,SLF_storage_af,LUS_storage_af,PNF_storage_af,PNF_outflow_cfs,PNF_inflow_cfs,TRM_storage_af,TRM_outflow_cfs,TRM_inflow_cfs,SCC_storage_af,SCC_outflow_cfs,SCC_inflow_cfs,ISB_storage_af,ISB_outflow_cfs,ISB_inflow_cfs,total_inflow_cfs,total_reservoir_outflows_cfs,total_storage,delta_inflow_cfs,delta_gains_cfs,total_delta_pumping_cfs,HRO_pumping_pct,TRP_pumping_pct,total_delta_pumping_pct
285,3540897.5,11360.5,3694.5,2584309.0,8009.0,2166.5,828339.0,1977.0,618.5,737865.5,4072.0,1769.0,34.0,517480.0,339.5,133.5,325845.0,339.5,215.0,18.5,158648.0,218.0,1681952.5,2061.5,832.5,1749926.5,3045.5,835.5,669698.5,1829.0,309.5,427971.0,4339.5,1879.5,4744.0,3585.0,5528.0,80.39,329302.5,572592.5,530195.0,6519.0,1314.0,78067.5,1583.0,212.0,33752.0,376.5,45.5,223374.5,1277.5,526.0,44146.01,50863.0,15047001.0,13644.0,-29841.0,8086.0,0.2532242506519953,0.21876907426246184,0.5215428276573787
286,3522757.5,11504.0,3930.0,2570770.5,7870.0,2377.0,825484.5,1982.0,613.5,732670.0,4054.0,1719.5,33.0,516835.0,344.0,110.5,325650.0,344.0,370.0,10.0,158173.0,226.0,1678810.0,2064.5,967.0,1746462.5,2858.0,878.0,664379.5,1830.5,349.5,422115.0,4375.5,1999.5,4202.0,3682.0,6623.0,80.465,326655.0,569966.0,519172.0,6529.5,1276.5,75066.0,1506.0,240.5,32821.0,372.0,44.5,221757.0,1361.0,563.5,44273.020000000004,51383.5,14963226.5,13970.0,-32808.0,8122.0,0.26550218340611353,0.23576445164775797,0.5382015770989331
287,3505924.5,11254.0,3663.0,2557042.0,6861.5,2220.0,821830.5,1979.5,530.5,726523.0,4009.0,1929.5,32.5,516080.0,351.5,134.0,325520.0,351.5,347.0,12.0,157698.5,223.0,1676124.0,2117.0,956.5,1741852.5,2779.5,755.5,658868.5,1810.5,368.5,416699.0,4431.0,2100.0,4207.0,3685.0,6455.0,80.39,323689.5,563694.5,508247.5,6288.5,1442.0,72214.0,1478.5,233.0,31856.0,375.0,37.0,220112.0,1361.5,559.5,46319.5,50194.0,14884492.0,13741.0,-31679.0,8497.0,0.26866338846669646,0.23426384996766544,0.5426272431189731
288,3484823.0,11271.0,3858.0,2542434.5,7389.5,1956.5,818338.5,1951.5,482.0,720407.0,4060.0,1533.0,31.0,516290.0,343.5,169.5,325320.0,343.5,222.0,21.5,157253.0,214.5,1673890.0,2050.0,887.0,1737251.5,2787.0,591.0,653449.5,1858.0,329.5,411411.0,4275.0,1918.5,4054.0,3673.0,6494.0,80.465,319053.5,559634.5,497442.5,6336.0,1115.5,70039.0,1489.5,203.0,30875.5,382.5,38.5,218656.5,1258.0,539.0,44422.01,50199.5,14800986.0,13101.0,-32375.0,8313.0,0.26704433173045256,0.23293390446239765,0.5475923852183651
289,3466145.0,11034.0,3648.0,2530979.5,7429.0,2112.0,816554.5,1966.5,560.0,713827.5,3967.5,1504.5,29.5,515735.0,345.5,102.0,325225.0,345.5,225.5,13.5,156851.5,210.5,1670565.0,2157.5,853.5,1732076.5,2830.0,647.0,647794.0,1782.0,334.0,405849.0,4162.5,1826.5,3978.0,4103.0,6827.0,80.465,312255.0,552402.0,486895.0,6220.0,1114.5,67165.5,1439.5,191.5,30297.5,332.5,28.5,217136.5,1382.5,516.5,45088.0,49050.5,14716477.5,13624.0,-31502.0,6194.0,0.2714542602440984,0.22800777993887192,0.4546388725778039
290,3451207.0,11191.0,3889.5,2517706.5,7912.5,2176.0,811256.0,1980.0,647.5,707813.0,3913.5,1614.5,30.0,515400.0,345.5,91.0,324460.0,345.5,229.5,12.0,156451.0,205.5,1667639.5,2008.5,856.5,1727495.0,2751.5,613.5,642105.5,1872.5,284.5,400515.0,4174.0,2248.0,3424.0,4160.0,6983.0,80.45,307616.0,544829.5,476760.0,6214.0,1052.0,63940.5,1421.5,179.5,29954.0,325.0,32.0,215896.5,1272.0,473.0,45003.03,49392.0,14636166.5,13650.0,-32126.0,6732.0,0.24034816790678085,0.23320285269987667,0.45582417582417584
291,3434473.5,10922.5,3757.0,2503098.0,7692.5,1977.5,807454.5,1978.0,511.5,701767.0,4010.5,1626.5,29.0,515060.0,344.5,132.5,323630.0,344.5,227.5,8.5,156036.5,201.0,1664912.0,2029.0,873.0,1721200.5,2933.0,498.0,636632.0,1896.5,264.5,394742.5,4081.0,1964.0,3241.0,4067.0,6937.0,80.465,304061.5,539108.0,466596.5,6084.5,990.5,60695.0,1362.5,164.5,29512.5,270.0,34.0,214667.5,1222.0,485.0,42397.01,47666.5,14556168.5,13557.0,-31383.0,7352.0,0.2475134621476085,0.24072116187190473,0.4883086228516633
292,3419219.0,10940.0,3749.0,2488492.0,7409.0,2097.5,805144.5,1982.0,546.5,696767.5,4011.5,1584.0,29.0,514550.0,345.0,137.5,323405.0,345.0,163.5,7.0,155580.0,212.0,1662536.0,2116.0,786.0,1716062.5,2944.5,784.0,631272.0,1816.0,253.5,389071.5,3930.0,2090.0,3459.0,4138.0,6637.0,80.465,299534.5,534124.0,456607.5,5912.0,860.0,57846.0,1345.5,176.5,28955.0,313.0,28.5,213309.5,1228.0,481.5,44221.020000000004,47588.0,14479977.0,13450.0,-29112.0,7759.0,0.2723777792016403,0.23823672410998867,0.5065427509293681
293,3401075.5,10998.0,3532.0,2474368.0,7333.5,2174.0,802197.0,1991.0,508.0,689734.5,3933.5,1548.0,28.0,514210.0,349.0,146.5,323275.0,349.0,203.0,15.0,155080.5,206.5,1659667.0,1995.0,773.0,1710935.5,2854.0,546.5,626267.0,1892.5,265.5,383364.0,4118.5,2121.0,3386.0,4157.0,6623.0,80.465,294928.5,531376.0,446711.0,5940.0,966.5,55402.0,1368.5,172.0,28326.5,345.0,36.5,211687.0,1244.0,402.0,45393.01,48764.5,14402995.0,13535.0,-28919.0,7698.0,0.2759801124786046,0.23168483699373255,0.5082417582417582
294,3384430.0,10950.0,3556.0,2461075.0,7216.0,2150.5,800741.0,1992.5,571.5,683111.5,4035.5,1674.0,27.0,513530.0,348.0,104.0,323045.0,348.0,261.5,10.5,154597.0,206.5,1657148.5,1945.5,833.5,1706396.0,2918.0,451.0,621578.5,1807.5,256.5,377523.5,4478.5,2071.0,4039.0,4214.0,6599.0,80.465,291391.5,528458.5,436756.0,5872.5,959.5,53023.0,1373.5,169.5,27895.5,380.5,29.0,209791.5,1244.5,436.0,41284.51,46376.0,14329216.5,13697.0,-30832.0,8345.0,0.2999822495710313,0.2309084136022564,0.4993592859352216
295,3365303.5,10713.0,3528.0,2446931.0,8485.5,2159.5,794935.5,1967.5,536.5,675300.0,4131.5,1750.0,26.0,513230.0,350.5,92.5,322885.0,350.5,260.0,13.5,154199.5,206.5,1654629.5,1989.5,838.0,1701296.0,2953.0,558.5,618242.5,1824.5,259.0,374351.5,4315.0,2178.5,4200.0,4173.0,6793.0,80.465,287870.5,526245.5,428509.0,5905.5,891.0,50644.5,1316.5,156.0,27599.0,384.0,28.5,207834.5,1209.0,398.5,42218.0,48449.5,14253547.5,13755.0,-29307.0,8245.0,0.3053435114503817,0.227435697583788,0.5334354262378764
296,3349147.5,10888.5,3520.0,2430120.5,8383.0,2238.5,791613.0,1968.0,610.5,662752.5,4043.0,1622.0,24.0,512905.0,347.5,107.0,322690.0,347.5,279.0,15.5,153802.5,221.5,1651327.0,2108.5,817.0,1696202.5,2801.5,309.0,615136.5,1806.0,242.0,370499.5,4172.5,2015.0,4666.0,3989.0,6524.0,80.465,284662.5,523079.5,419955.5,5900.0,933.5,48265.5,1324.0,150.0,27453.0,359.0,30.0,205889.5,1220.5,373.0,43430.03,47056.5,14183282.0,13868.0,-28796.0,7350.0,0.2920353982300885,0.24112734864300625,0.5273019540865023
297,3332310.0,10998.0,3582.0,2415204.0,8170.5,2476.0,788392.0,1972.5,504.5,651683.0,4010.0,1589.5,24.5,512515.0,355.5,96.0,321865.0,355.5,211.5,13.5,153391.5,214.0,1648667.0,2056.0,796.5,1691120.0,2771.5,445.5,611422.5,1832.0,216.0,365592.0,4333.0,2011.5,5070.0,3966.0,6608.0,80.465,281355.5,521050.5,411420.0,5656.5,773.5,45875.0,1317.5,143.5,26981.5,323.0,36.5,204224.5,1171.0,401.5,42644.5,47233.0,14112061.0,14591.0,-28963.0,7200.0,0.308976781034798,0.2323932225410058,0.5321218705249123
298,3314084.5,11040.5,3456.5,2397352.0,8343.0,2227.0,787092.0,1968.5,493.0,642359.0,4031.0,1767.0,23.5,512130.0,358.0,63.0,321205.0,358.0,162.0,9.5,152981.5,212.0,1646157.5,2004.0,834.5,1686620.5,2745.5,326.0,607881.0,1807.5,192.0,361855.0,4245.0,2200.0,4743.0,4000.0,7094.0,80.50999999999999,278243.5,518977.0,403698.5,5647.0,815.5,43465.0,1280.0,146.0,26512.0,348.5,28.0,202468.5,1174.0,369.5,42877.01,47293.5,14039857.5,14471.0,-29005.0,7255.0,0.3010995542347697,0.22919387701791966,0.5330300445455407
299,3296424.5,10945.5,3442.5,2381610.5,8394.0,2683.5,781929.0,1964.5,569.0,633654.0,3883.0,1650.0,23.0,511725.0,353.0,68.5,320610.0,353.0,207.0,7.0,152515.5,212.5,1643601.0,2093.5,874.0,1681560.5,2859.0,310.0,604347.5,1798.0,179.5,358437.0,4109.0,2132.0,4500.0,3894.0,6710.0,80.49000000000001,275009.5,516813.5,396068.5,5714.5,796.0,41046.0,1294.0,139.5,25838.0,311.5,26.0,200622.0,1218.0,329.0,42258.520000000004,48066.5,13962928.5,14326.0,-29371.0,7860.0,0.3089757454039858,0.22068241469816274,0.5095010041711726
300,3276803.0,11382.0,3658.0,2364914.0,8290.5,2560.0,778229.5,1966.5,511.0,629806.0,3844.0,1589.0,22.0,511321.5,354.5,65.0,319980.0,354.5,250.0,11.0,152064.5,205.0,1640654.5,2084.5,811.0,1676512.0,2788.0,315.0,600735.5,1786.5,161.5,354704.0,4269.0,1987.5,4211.0,3682.0,6892.0,80.49000000000001,269229.0,503971.0,388478.5,5545.0,793.0,38690.5,1237.5,149.0,24685.5,333.5,19.0,198686.0,1228.0,335.0,41104.5,49175.5,13879607.5,13586.0,-30936.0,7809.0,0.2578616352201258,0.22476720539441292,0.45993227990970653
301,3256535.0,11143.5,3565.0,2349519.0,7957.0,2348.5,774249.5,1969.5,515.0,618043.5,3681.0,1628.0,21.0,511070.0,354.0,88.0,319095.0,354.0,227.5,7.5,151656.0,202.0,1637812.0,2098.5,839.5,1672608.5,2856.0,397.5,597462.5,1728.0,140.0,351603.0,4287.0,2161.0,4715.0,3683.0,6943.0,80.45500000000001,263151.5,502486.5,380931.0,5346.5,709.5,37186.5,1133.0,127.0,23341.0,313.5,28.5,196497.0,1338.0,362.5,41322.53,47208.5,13803839.5,13915.0,-29543.0,7803.0,0.2524900931776802,0.22997430149270054,0.4952928494430471
302,3237283.5,11072.5,3604.5,2333024.5,8702.5,2215.0,770198.5,1970.5,527.0,611470.0,3640.5,1674.0,20.5,510475.0,358.5,59.5,318330.0,358.5,200.5,9.5,151262.5,209.0,1635261.5,1961.0,802.5,1668146.5,2701.5,284.0,593881.5,1802.5,143.0,348510.0,4183.5,2163.5,4614.0,3666.0,6439.0,80.39,252659.0,500551.5,373426.5,5299.5,626.0,36009.0,1109.0,149.5,21984.0,302.5,20.5,194154.0,1370.0,344.5,41050.520000000004,47105.5,13727173.5,15905.0,-28713.0,7892.0,0.24718526100307062,0.20141948115516398,0.4563431276980922
303,3218142.0,11264.5,3587.5,2315428.5,7356.5,2419.0,766808.0,1953.5,510.0,607467.5,3676.0,1608.0,19.5,510040.0,355.0,74.0,317245.0,355.0,121.0,11.5,150869.5,206.0,1632274.5,1979.5,844.5,1663146.5,2551.5,424.0,590201.0,1772.0,168.0,346057.0,4164.0,2056.5,4903.0,3504.0,5458.0,80.39,243761.5,496624.5,367141.5,4908.5,636.0,34658.5,1002.5,124.0,21231.0,360.5,29.5,192049.5,1240.5,343.0,42440.520000000004,45909.0,13654495.5,14739.0,-28753.0,8605.0,0.3383098792770912,0.23421962818849978,0.5398126463700235
304,3199187.5,11090.5,3613.0,2299548.0,7728.0,2357.0,765148.0,1906.0,502.5,604502.5,3606.0,1707.0,19.0,507540.0,352.5,124.0,313545.0,352.5,205.0,11.5,150393.0,214.5,1630072.5,2131.5,868.0,1658139.5,2683.0,405.0,586512.0,1794.5,138.5,342377.0,3920.5,2068.5,4997.0,3500.0,5969.0,80.44,235826.0,492451.5,361909.5,4624.0,619.5,33780.0,968.0,119.0,20379.5,363.5,33.5,189948.0,1182.5,338.5,40311.51,45715.5,13583133.5,14570.0,-27863.0,8601.0,0.29752916952642416,0.22659969654162088,0.5392583483114181
305,3181383.5,10818.0,3540.5,2279937.0,7565.0,1887.5,764697.0,1965.5,600.0,601757.0,3771.0,1586.5,19.5,508925.0,352.0,93.0,315130.0,352.0,242.0,11.0,149903.5,208.0,1626994.0,2074.5,844.0,1653706.5,2615.0,368.5,583208.0,1787.5,144.0,338681.5,3889.5,1804.5,4196.0,3684.0,5668.0,80.45500000000001,227775.5,486587.5,356238.5,4460.0,681.0,32912.5,957.5,119.0,19824.5,384.5,26.0,187554.0,1199.0,330.0,40779.020000000004,45710.0,13511265.5,14741.0,-27421.0,7741.0,0.283070308813506,0.22401790154152162,0.5423247559893523
306,3160905.5,11495.5,3507.0,2263491.0,7440.5,2276.5,764308.5,1989.5,512.0,599284.5,3506.5,1573.5,19.0,507770.0,353.0,88.0,314075.0,353.0,199.0,13.0,149386.5,209.5,1624210.5,1847.5,805.0,1650898.5,2895.5,356.5,579849.0,1757.5,140.5,335430.5,3592.5,1906.5,4242.0,4170.0,6243.0,80.45500000000001,219892.5,478993.5,350530.5,4483.0,650.0,32085.5,947.5,89.0,19418.5,388.5,33.5,185316.0,1192.5,335.5,38798.5,43747.5,13434248.5,14990.0,-26235.0,8504.0,0.2891856392294221,0.22148112857974697,0.5444395796847635
307,3140031.5,10834.5,3353.0,2245858.5,7386.5,2348.5,754671.5,1903.5,435.5,596252.0,3610.0,1625.5,19.0,506805.0,355.5,83.5,313290.0,355.5,278.5,5.0,148885.0,206.5,1621431.0,1984.5,816.0,1648657.5,2603.0,332.5,576324.5,1637.5,125.5,332465.5,3708.0,1821.5,4333.0,3752.0,6073.0,80.49000000000001,217180.5,473658.5,344552.0,4108.5,683.0,31311.0,894.0,90.0,19050.5,387.0,26.5,183121.5,1163.5,333.0,38784.01,45646.5,13357113.0,14706.0,-25919.0,7471.0,0.2924542232722977,0.2189074988545538,0.5516095688127585
308,3120886.0,10782.0,3558.0,2228506.0,6491.5,2093.5,750374.5,1834.0,481.0,592036.0,3482.5,1804.0,17.0,506285.0,353.5,74.5,312660.0,353.5,353.0,8.0,148384.0,210.0,1618508.0,1946.0,786.0,1639920.5,2576.0,476.0,573013.0,1620.5,127.5,328913.5,3783.5,1857.0,4372.0,3494.0,5051.0,80.49000000000001,213828.5,468486.0,338345.0,4061.5,596.5,30185.5,800.0,77.5,18440.5,385.0,27.5,180584.5,1168.0,419.5,39696.020000000004,41022.0,13284975.0,14622.0,-23979.0,8630.0,0.31661868202175303,0.21894124847001223,0.5441656466748266
309,3101486.5,10562.0,3278.5,2212651.0,8107.5,2349.0,747525.5,1748.5,529.0,587223.0,3648.5,1659.0,16.5,506115.0,344.5,89.5,311520.0,344.5,308.0,6.5,147911.5,209.0,1616124.0,2016.5,805.0,1635505.5,2843.0,292.5,569695.0,1687.5,148.5,324762.5,3897.0,1780.0,4428.0,4165.0,5096.0,80.45500000000001,208881.0,466014.0,332265.5,3881.0,565.5,29383.5,808.5,115.0,17736.0,384.5,27.5,178130.5,1155.5,327.0,39492.020000000004,42002.5,13216363.5,15546.0,-25534.0,8633.0,0.2929702343255225,0.21875953228266395,0.5498491249245625
310,3082294.5,10518.0,3292.5,2195767.5,8067.5,2118.5,744683.5,1737.0,526.0,582926.0,3406.0,1593.5,16.5,504770.0,346.0,69.0,309600.0,346.0,314.0,8.5,147523.5,206.0,1613159.0,1921.0,841.5,1632220.5,2594.5,384.0,566297.5,1666.5,145.0,320199.5,3554.0,1876.0,5126.0,4087.0,4895.0,80.49000000000001,205543.0,465038.5,326246.5,4018.0,679.5,28189.0,806.5,117.0,17031.5,370.0,24.5,175969.0,1066.0,285.0,38393.01,41479.5,13148084.5,15689.0,-24943.0,8372.0,0.328833081570997,0.21784449653383872,0.5348848187311178
311,3065783.0,10129.0,3529.0,2179914.0,7636.0,2276.0,740524.0,1735.0,520.5,576955.5,3345.5,1539.0,17.0,503130.0,344.5,56.5,307935.0,344.5,283.5,10.5,147122.0,198.5,1610779.0,1891.0,828.5,1627284.5,2801.0,418.0,562830.5,1709.0,123.0,315805.5,3526.5,1929.5,5172.0,4098.0,4961.0,80.45500000000001,203692.5,465957.5,320481.0,3804.5,596.0,27589.0,745.0,87.0,16327.0,364.0,30.0,173818.0,1015.5,306.0,41008.03,39844.5,13085244.0,16485.0,-22610.0,8181.0,0.3264156129741616,0.208762098828324,0.5261590617555434
